Genre,year,sum
Alternative Rock,2020,1185.3
Ambient House,2020,817.8
Anthem Worship,2018,3283.85
Anti-folk,2007,307.6
Antideutsche,2018,1209.95
Antiviral Pop,2019,607.2
Arabic Hip Hop,2018,54.40000000000001
Arabic Hip Hop,2019,13291.750000000002
Arabic Hip Hop,2020,3167.3
Argentine Hip Hop,2017,15793.95
Argentine Hip Hop,2018,1350.1000000000001
Argentine Hip Hop,2019,21805.250000000004
Argentine Hip Hop,2020,72395.85000000002
Argentine Indie,2019,3640.05
Argentine Rock,2017,79.2
Arkansas Country,1980,105.6
Arkansas Country,2002,1201.1999999999998
Arkansas Country,2013,112.80000000000001
Arkansas Hip Hop,2017,10612.65
Art Pop,1998,40.8
Art Pop,2010,137.60000000000002
Art Pop,2011,60.80000000000001
Art Pop,2013,2541.0
Art Pop,2014,642.4000000000002
Art Pop,2016,25396.300000000003
Art Pop,2017,792803.6
Art Pop,2018,165980.55
Art Pop,2019,40144.700000000004
Art Pop,2020,3339.3500000000004
Art Rock,1975,1734.5500000000002
Art Rock,1984,3293.8499999999995
Art Rock,1988,60995.200000000004
Art Rock,2007,77320.25
Asian American Hip Hop,2018,112740.24999999999
Asian American Hip Hop,2019,642.6500000000001
Asian American Hip Hop,2020,16.8
Atl Hip Hop,1997,52.0
Atl Hip Hop,1999,19694.75
Atl Hip Hop,2000,338.6
Atl Hip Hop,2001,158.4
Atl Hip Hop,2004,1452.25
Atl Hip Hop,2006,21017.30000000001
Atl Hip Hop,2008,116.80000000000001
Atl Hip Hop,2010,133.6
Atl Hip Hop,2012,168.7
Atl Hip Hop,2013,543.2
Atl Hip Hop,2016,757963.6000000001
Atl Hip Hop,2017,2784916.3000000003
Atl Hip Hop,2018,2524722.0
Atl Hip Hop,2019,396339.60000000003
Atl Hip Hop,2020,1021740.7
Aussie Drill,2019,97098.59999999999
Aussie Drill,2020,61592.299999999996
Aussietronica,2014,56.0
Aussietronica,2016,44997.20000000001
Aussietronica,2017,71712.05
Aussietronica,2018,107429.5
Aussietronica,2019,18055.8
Australian Alternative Pop,2015,24.0
Australian Alternative Pop,2017,5.6000000000000005
Australian Alternative Pop,2018,46256.850000000006
Australian Alternative Pop,2019,70292.35
Australian Alternative Pop,2020,615.2
Australian Alternative Rock,1979,20.0
Australian Alternative Rock,1983,16.8
Australian Alternative Rock,1986,379.09999999999997
Australian Alternative Rock,1987,5791.749999999999
Australian Alternative Rock,1989,149.60000000000005
Australian Alternative Rock,1992,159.45000000000002
Australian Alternative Rock,2000,2903.150000000001
Australian Alternative Rock,2005,80.00000000000001
Australian Alternative Rock,2010,97.75
Australian Alternative Rock,2016,61.6
Australian Alternative Rock,2019,13214.7
Australian Alternative Rock,2020,4755.4000000000015
Australian Country,2017,9.6
Australian Country,2018,15763.050000000003
Australian Dance,2012,80.80000000000003
Australian Dance,2014,12298.949999999999
Australian Dance,2015,949.9000000000001
Australian Dance,2016,411218.3
Australian Dance,2017,101772.15000000001
Australian Dance,2018,512154.3
Australian Dance,2019,129919.65000000004
Australian Dance,2020,50320.85
Australian Electropop,2016,1626.3999999999994
Australian Electropop,2017,129.60000000000002
Australian Electropop,2018,4132.6
Australian Garage Punk,2017,787.85
Australian Garage Punk,2018,96.8
Australian Garage Punk,2019,43.2
Australian Garage Punk,2020,80.0
Australian Hip Hop,2003,121.6
Australian Hip Hop,2016,25099.550000000003
Australian Hip Hop,2017,70594.25
Australian Hip Hop,2018,25135.649999999994
Australian Hip Hop,2019,82215.15000000001
Australian Hip Hop,2020,47938.75
Australian House,2018,32808.65000000001
Australian House,2020,7519.199999999997
Australian Indie,2011,254.65
Australian Indie,2016,7505.249999999997
Australian Indie,2017,42716.59999999999
Australian Indie,2018,9627.600000000002
Australian Indie,2019,27459.499999999993
Australian Indie,2020,5842.250000000002
Australian Indie Folk,2017,55953.85000000001
Australian Indigenous,2018,824.3499999999999
Australian Indigenous,2019,10303.95
Australian Metalcore,2018,21.6
Australian Pop,1997,313.6
Australian Pop,1998,175.20000000000002
Australian Pop,2002,84.80000000000001
Australian Pop,2011,2444.75
Australian Pop,2014,195.4
Australian Pop,2015,76058.1
Australian Pop,2016,383831.69999999995
Australian Pop,2017,50950.05
Australian Pop,2018,1357588.9500000002
Australian Pop,2019,5015888.850000003
Australian Pop,2020,50298.4
Australian Psych,2015,94309.99999999999
Australian Psych,2019,5369.200000000001
Australian Psych,2020,18922.7
Australian R&b,2020,3933.05
Australian Reggae Fusion,2013,39811.299999999996
Australian Reggae Fusion,2014,14981.500000000004
Australian Reggae Fusion,2016,72.0
Australian Reggae Fusion,2017,10642.05
Australian Reggae Fusion,2018,64207.299999999945
Australian Reggae Fusion,2019,469.6
Australian Reggae Fusion,2020,3015.2
Australian Rock,1965,165.55
Australian Rock,1982,278.35
Australian Rock,1986,353.6
Australian Rock,1988,162.65
Australian Talent Show,2016,1804.4
Australian Talent Show,2017,40.00000000000001
Australian Talent Show,2018,3230.200000000001
Australian Talent Show,2019,6384.0
Australian Talent Show,2020,11394.500000000002
Austrian Indie,2018,6.4
Austrian Pop,2017,272.9
Austrian Pop,2018,28.0
Austropop,2017,12255.199999999999
Azonto,2017,41581.04999999997
Ballroom,2018,37.6
Baltimore Hip Hop,2018,1598.3999999999994
Barbadian Pop,2005,1241.8
