chart_year,Genre,region,streams
2017,A Cappella,Australia,73311
2017,A Cappella,Austria,392082
2017,A Cappella,Belgium,44828
2017,A Cappella,Canada,730657
2017,A Cappella,Denmark,95318
2017,A Cappella,Finland,51503
2017,A Cappella,Germany,4124712
2017,A Cappella,Global,12952665
2017,A Cappella,Italy,689847
2017,A Cappella,Netherlands,500339
2017,A Cappella,New Zealand,12505
2017,A Cappella,Philippines,25343
2017,A Cappella,Poland,257799
2017,A Cappella,Portugal,10682
2017,A Cappella,Singapore,11627
2017,A Cappella,Sweden,33330
2017,A Cappella,Switzerland,239698
2017,A Cappella,United States of America,7547168
2017,Acoustic Chill,Sweden,251454
2017,Acoustic Pop,Australia,19338
2017,Acoustic Pop,Malaysia,3614
2017,Acoustic Pop,Norway,30002
2017,Acoustic Pop,Philippines,8845827
2017,Acoustic Pop,Taiwan,27193
2017,Adult Standards,Australia,2742992
2017,Adult Standards,Austria,222755
2017,Adult Standards,Belgium,434941
2017,Adult Standards,Canada,2952391
2017,Adult Standards,Chile,75861
2017,Adult Standards,Costa Rica,2211
2017,Adult Standards,Denmark,2097946
2017,Adult Standards,Ecuador,2865
2017,Adult Standards,Finland,126474
2017,Adult Standards,France,242358
2017,Adult Standards,Germany,2739404
2017,Adult Standards,Global,36412866
2017,Adult Standards,Indonesia,5119
2017,Adult Standards,Ireland,866700
2017,Adult Standards,Italy,933286
2017,Adult Standards,Malaysia,81398
2017,Adult Standards,Mexico,65842
2017,Adult Standards,Netherlands,1527172
2017,Adult Standards,New Zealand,539642
2017,Adult Standards,Norway,1834751
2017,Adult Standards,Peru,6929
2017,Adult Standards,Philippines,239261
2017,Adult Standards,Poland,1503286
2017,Adult Standards,Portugal,86988
2017,Adult Standards,Singapore,143472
2017,Adult Standards,Spain,351922
2017,Adult Standards,Sweden,2389508
2017,Adult Standards,Switzerland,206520
2017,Adult Standards,Taiwan,68050
2017,Adult Standards,United States of America,16012040
2017,Afroswing,Global,862954
2017,Afroswing,Ireland,1671524
2017,Ai,Canada,69487
2017,Ai,Poland,39230
2017,Ai,Portugal,5217
2017,Ai,Switzerland,15535
2017,Ai,Turkey,6189
2017,Alabama Rap,Canada,1644236
2017,Alabama Rap,Global,12659521
2017,Alabama Rap,United States of America,50232316
2017,Albanian Hip Hop,Austria,94547
2017,Albanian Hip Hop,Germany,6121521
2017,Albanian Hip Hop,Switzerland,25407
2017,Album Rock,Australia,377071
2017,Album Rock,Austria,134412
2017,Album Rock,Belgium,31476
2017,Album Rock,Canada,395305
2017,Album Rock,Finland,8291
2017,Album Rock,France,18864
2017,Album Rock,Germany,1260771
2017,Album Rock,Global,5516761
2017,Album Rock,Ireland,30646
2017,Album Rock,Italy,108365
2017,Album Rock,Malaysia,4631
2017,Album Rock,Netherlands,569951
2017,Album Rock,New Zealand,890378
2017,Album Rock,Philippines,8080016
2017,Album Rock,Poland,347091
2017,Album Rock,Portugal,3956
2017,Album Rock,Singapore,9349
2017,Album Rock,Spain,16250
2017,Album Rock,Sweden,663805
2017,Album Rock,Switzerland,86459
2017,Album Rock,United States of America,7749705
2017,Alternative Dance,Australia,3067541
2017,Alternative Dance,Austria,329937
2017,Alternative Dance,Belgium,850758
2017,Alternative Dance,Canada,222580
2017,Alternative Dance,Chile,74733
2017,Alternative Dance,Denmark,304937
2017,Alternative Dance,Ecuador,153822
2017,Alternative Dance,Finland,95008
2017,Alternative Dance,France,15728
2017,Alternative Dance,Germany,6461343
2017,Alternative Dance,Global,16651515
2017,Alternative Dance,Ireland,441600
2017,Alternative Dance,Italy,139114
2017,Alternative Dance,Malaysia,3224
2017,Alternative Dance,Mexico,2650702
2017,Alternative Dance,Netherlands,168015
2017,Alternative Dance,New Zealand,249170
2017,Alternative Dance,Norway,664929
2017,Alternative Dance,Peru,20149
2017,Alternative Dance,Poland,70163
2017,Alternative Dance,Portugal,106346
2017,Alternative Dance,Spain,49376
2017,Alternative Dance,Switzerland,113140
2017,Alternative Dance,Taiwan,7154
2017,Alternative Hip Hop,Australia,422844
2017,Alternative Hip Hop,Belgium,7260
2017,Alternative Hip Hop,Colombia,189451
2017,Alternative Hip Hop,Ireland,135906
2017,Alternative Hip Hop,Mexico,41842
2017,Alternative Hip Hop,New Zealand,30468
2017,Alternative Hip Hop,Poland,62138
2017,Alternative Metal,Argentina,213668
2017,Alternative Metal,Australia,1897793
2017,Alternative Metal,Austria,900179
2017,Alternative Metal,Belgium,538673
2017,Alternative Metal,Brazil,3409006
2017,Alternative Metal,Canada,1777338
2017,Alternative Metal,Chile,637887
2017,Alternative Metal,Colombia,364939
2017,Alternative Metal,Costa Rica,386594
2017,Alternative Metal,Denmark,163281
2017,Alternative Metal,Ecuador,62767
2017,Alternative Metal,Finland,828035
2017,Alternative Metal,France,730414
2017,Alternative Metal,Germany,12985400
2017,Alternative Metal,Global,71278646
2017,Alternative Metal,Indonesia,1278381
2017,Alternative Metal,Ireland,274124
2017,Alternative Metal,Italy,2358826
2017,Alternative Metal,Malaysia,2011482
2017,Alternative Metal,Mexico,975816
2017,Alternative Metal,Netherlands,433274
2017,Alternative Metal,New Zealand,372125
2017,Alternative Metal,Norway,179694
2017,Alternative Metal,Peru,427471
2017,Alternative Metal,Philippines,10549284
2017,Alternative Metal,Poland,1262913
2017,Alternative Metal,Portugal,1242944
2017,Alternative Metal,Singapore,1266049
2017,Alternative Metal,Spain,391849
2017,Alternative Metal,Sweden,710674
2017,Alternative Metal,Switzerland,548599
2017,Alternative Metal,Taiwan,1075820
2017,Alternative Metal,Turkey,327891
2017,Alternative Metal,United States of America,15718646
2017,Alternative Pop Rock,Finland,7966
2017,Alternative Pop Rock,Netherlands,225660
2017,Alternative Pop Rock,Poland,8936
2017,Alternative Pop Rock,Taiwan,4266
2017,Alternative R&b,Australia,43870703
2017,Alternative R&b,Austria,970254
2017,Alternative R&b,Belgium,2319054
2017,Alternative R&b,Brazil,3540428
2017,Alternative R&b,Canada,33255996
2017,Alternative R&b,Colombia,515173
2017,Alternative R&b,Costa Rica,382479
2017,Alternative R&b,Denmark,9582236
2017,Alternative R&b,Finland,1136172
2017,Alternative R&b,France,1244273
2017,Alternative R&b,Germany,15491785
2017,Alternative R&b,Global,686197015
2017,Alternative R&b,Indonesia,9143524
2017,Alternative R&b,Ireland,3592979
2017,Alternative R&b,Italy,1245205
2017,Alternative R&b,Malaysia,5819522
2017,Alternative R&b,Mexico,1048741
2017,Alternative R&b,Netherlands,8890096
2017,Alternative R&b,New Zealand,11848869
2017,Alternative R&b,Norway,6178668
2017,Alternative R&b,Philippines,38921429
2017,Alternative R&b,Poland,3218153
2017,Alternative R&b,Portugal,2818964
2017,Alternative R&b,Singapore,6894942
2017,Alternative R&b,Spain,2655633
2017,Alternative R&b,Sweden,7649281
2017,Alternative R&b,Switzerland,2244944
2017,Alternative R&b,Taiwan,1917004
2017,Alternative R&b,Turkey,1536925
2017,Alternative R&b,United States of America,416472334
2017,Alternative Rock,Argentina,11241
2017,Alternative Rock,Australia,4021543
2017,Alternative Rock,Austria,69685
2017,Alternative Rock,Belgium,102922
2017,Alternative Rock,Brazil,1800296
2017,Alternative Rock,Canada,99821
2017,Alternative Rock,Chile,325386
2017,Alternative Rock,Colombia,14271
2017,Alternative Rock,Costa Rica,25212
2017,Alternative Rock,Denmark,7392
2017,Alternative Rock,France,63752
2017,Alternative Rock,Global,475535
2017,Alternative Rock,Indonesia,144092
2017,Alternative Rock,Ireland,1128670
2017,Alternative Rock,Italy,97612
2017,Alternative Rock,Malaysia,39615
2017,Alternative Rock,Mexico,42139
2017,Alternative Rock,New Zealand,508371
2017,Alternative Rock,Peru,129183
2017,Alternative Rock,Philippines,8981334
2017,Alternative Rock,Poland,2350734
2017,Alternative Rock,Portugal,311210
2017,Alternative Rock,Singapore,20611
2017,Alternative Rock,Sweden,30458
2017,Alternative Rock,Switzerland,40008
2017,Alternative Rock,Taiwan,8430
2017,Alternative Rock,Turkey,20553
2017,Alternative Rock,United States of America,370827
2017,Anti-folk,Ireland,4360
2017,Argentine Hip Hop,Argentina,5582748
2017,Argentine Rock,Argentina,33727
2017,Arkansas Country,Ireland,48253
2017,Arkansas Country,Turkey,97648
2017,Art Pop,Argentina,705240
2017,Art Pop,Australia,49612300
2017,Art Pop,Austria,1937147
2017,Art Pop,Belgium,2424495
2017,Art Pop,Brazil,30331569
2017,Art Pop,Canada,18234843
2017,Art Pop,Chile,569837
2017,Art Pop,Colombia,897784
2017,Art Pop,Costa Rica,430101
2017,Art Pop,Denmark,2133919
2017,Art Pop,Ecuador,93749
2017,Art Pop,Finland,1276119
2017,Art Pop,France,7106263
2017,Art Pop,Germany,23300706
2017,Art Pop,Global,440833672
2017,Art Pop,Indonesia,3612628
2017,Art Pop,Ireland,5869936
2017,Art Pop,Italy,8498724
2017,Art Pop,Malaysia,1950942
2017,Art Pop,Mexico,2873431
2017,Art Pop,Netherlands,5814542
2017,Art Pop,New Zealand,17549665
2017,Art Pop,Norway,2267545
2017,Art Pop,Peru,88923
2017,Art Pop,Philippines,6335161
2017,Art Pop,Poland,5323458
2017,Art Pop,Portugal,2379819
2017,Art Pop,Singapore,2685160
2017,Art Pop,Spain,5052472
2017,Art Pop,Sweden,13305574
2017,Art Pop,Switzerland,1873579
2017,Art Pop,Taiwan,1813534
2017,Art Pop,Turkey,2313895
2017,Art Pop,United States of America,117325368
2017,Atl Hip Hop,Argentina,221736
2017,Atl Hip Hop,Australia,56771057
2017,Atl Hip Hop,Austria,2159550
2017,Atl Hip Hop,Belgium,5308890
2017,Atl Hip Hop,Brazil,4647766
2017,Atl Hip Hop,Canada,74248302
2017,Atl Hip Hop,Chile,124282
2017,Atl Hip Hop,Colombia,480376
2017,Atl Hip Hop,Costa Rica,1088746
2017,Atl Hip Hop,Denmark,14445115
2017,Atl Hip Hop,Ecuador,102123
2017,Atl Hip Hop,Finland,8074850
2017,Atl Hip Hop,France,24769438
2017,Atl Hip Hop,Germany,41185542
2017,Atl Hip Hop,Global,1196410695
2017,Atl Hip Hop,Indonesia,4322936
2017,Atl Hip Hop,Ireland,6214531
2017,Atl Hip Hop,Italy,6540655
2017,Atl Hip Hop,Malaysia,3106928
2017,Atl Hip Hop,Mexico,2193235
2017,Atl Hip Hop,Netherlands,19399846
2017,Atl Hip Hop,New Zealand,12208366
2017,Atl Hip Hop,Norway,16730480
2017,Atl Hip Hop,Philippines,10359712
2017,Atl Hip Hop,Poland,6982447
2017,Atl Hip Hop,Portugal,5717310
2017,Atl Hip Hop,Singapore,4479556
2017,Atl Hip Hop,Spain,5214096
2017,Atl Hip Hop,Sweden,24751066
2017,Atl Hip Hop,Switzerland,5634632
2017,Atl Hip Hop,Taiwan,1273768
2017,Atl Hip Hop,Turkey,8606743
2017,Atl Hip Hop,United States of America,781210559
2017,Aussietronica,Australia,259739
2017,Aussietronica,Austria,3917
2017,Aussietronica,France,1962659
2017,Aussietronica,Germany,84316
2017,Aussietronica,Ireland,7654
2017,Aussietronica,Italy,17064
2017,Aussietronica,Spain,21242
2017,Aussietronica,Sweden,25250
2017,Aussietronica,Taiwan,6062
2017,Aussietronica,Turkey,17100
2017,Australian Alternative Pop,Denmark,8883
2017,Australian Alternative Rock,Australia,64021
2017,Australian Country,Canada,42608
2017,Australian Dance,Argentina,184691
2017,Australian Dance,Australia,3402719
2017,Australian Dance,Austria,78988
2017,Australian Dance,Belgium,76124
2017,Australian Dance,Brazil,1230945
2017,Australian Dance,Canada,99930
2017,Australian Dance,Chile,917838
2017,Australian Dance,Colombia,313122
2017,Australian Dance,Costa Rica,566182
2017,Australian Dance,Denmark,20381
2017,Australian Dance,Ecuador,52388
2017,Australian Dance,Finland,403865
2017,Australian Dance,France,61440
2017,Australian Dance,Germany,1439051
2017,Australian Dance,Global,13056039
2017,Australian Dance,Indonesia,65187
2017,Australian Dance,Ireland,281590
2017,Australian Dance,Italy,540273
2017,Australian Dance,Malaysia,32675
2017,Australian Dance,Mexico,241482
2017,Australian Dance,Netherlands,595761
2017,Australian Dance,New Zealand,187728
2017,Australian Dance,Norway,185469
2017,Australian Dance,Peru,340881
2017,Australian Dance,Philippines,37428
2017,Australian Dance,Poland,395114
2017,Australian Dance,Portugal,126294
2017,Australian Dance,Singapore,43129
2017,Australian Dance,Spain,1024513
2017,Australian Dance,Sweden,94435
2017,Australian Dance,Switzerland,93071
2017,Australian Dance,Taiwan,73978
2017,Australian Dance,Turkey,753967
2017,Australian Electropop,Australia,1196047
2017,Australian Garage Punk,Australia,113272
2017,Australian Hip Hop,Australia,31728
2017,Australian Indie,Australia,8127958
2017,Australian Indie,Austria,2539
2017,Australian Indie,Germany,32949
2017,Australian Indie,Malaysia,4923
2017,Australian Indie,New Zealand,4039
2017,Australian Indie,Poland,5551
2017,Australian Indie,Singapore,4013
2017,Australian Indie Folk,Australia,16158982
2017,Australian Indie Folk,Austria,6123
2017,Australian Indie Folk,Belgium,3453
2017,Australian Indie Folk,France,140840
2017,Australian Indie Folk,Germany,29177
2017,Australian Indie Folk,Netherlands,373978
2017,Australian Indie Folk,New Zealand,501975
2017,Australian Indie Folk,Poland,22528
2017,Australian Indie Folk,Switzerland,4194
2017,Australian Pop,Australia,64167807
2017,Australian Pop,Austria,12393
2017,Australian Pop,France,18238
2017,Australian Pop,Germany,29080
2017,Australian Pop,Ireland,10697
2017,Australian Pop,New Zealand,2323599
2017,Australian Psych,Australia,41515
2017,Australian Psych,Ireland,3666
2017,Australian Psych,Mexico,324051
2017,Australian Psych,Poland,63948
2017,Australian Psych,Portugal,2692
2017,Australian Psych,Spain,31319
2017,Australian Reggae Fusion,Australia,6188389
2017,Australian Reggae Fusion,New Zealand,691167
2017,Australian Talent Show,Australia,18613
2017,Australian Talent Show,New Zealand,4742
2017,Austrian Pop,Austria,12751
2017,Austropop,Austria,540132
2017,Barbadian Pop,Australia,2186643
2017,Barbadian Pop,Austria,451063
2017,Barbadian Pop,Belgium,616898
2017,Barbadian Pop,Brazil,4944931
2017,Barbadian Pop,Canada,7618783
2017,Barbadian Pop,Colombia,4207
2017,Barbadian Pop,Costa Rica,137748
2017,Barbadian Pop,Denmark,1720989
2017,Barbadian Pop,France,1852496
2017,Barbadian Pop,Germany,5066385
2017,Barbadian Pop,Global,159763777
2017,Barbadian Pop,Indonesia,211299
2017,Barbadian Pop,Ireland,149340
2017,Barbadian Pop,Italy,104204
2017,Barbadian Pop,Malaysia,1372939
2017,Barbadian Pop,Mexico,981750
2017,Barbadian Pop,Netherlands,1563409
2017,Barbadian Pop,New Zealand,2184055
2017,Barbadian Pop,Norway,439702
2017,Barbadian Pop,Philippines,19105727
2017,Barbadian Pop,Poland,1697681
2017,Barbadian Pop,Portugal,1435056
2017,Barbadian Pop,Singapore,336514
2017,Barbadian Pop,Spain,23923
2017,Barbadian Pop,Sweden,165769
2017,Barbadian Pop,Switzerland,590488
2017,Barbadian Pop,Taiwan,83435
2017,Barbadian Pop,Turkey,460229
2017,Barbadian Pop,United States of America,99604016
2017,Baroque Pop,Australia,35690
2017,Baroque Pop,Finland,15708
2017,Baroque Pop,Ireland,40952
2017,Baroque Pop,New Zealand,9118
2017,Baroque Pop,Norway,103274
2017,Baroque Pop,United States of America,532228
2017,Basshall,France,96864
2017,Bassline,Ireland,3802
2017,Baton Rouge Rap,United States of America,4929286
2017,Beach House,Austria,60052
2017,Beach House,Germany,67830
2017,Beatlesque,Ireland,7175
2017,Belgian Edm,Belgium,170623
2017,Belgian Hip Hop,France,217812
2017,Belgian Indie,Belgium,3453487
2017,Belgian Indie,Turkey,175861
2017,Belgian Pop,Belgium,453625
2017,Big Room,Argentina,3528310
2017,Big Room,Australia,36678928
2017,Big Room,Austria,12041381
2017,Big Room,Belgium,12138065
2017,Big Room,Brazil,32022725
2017,Big Room,Canada,30902812
2017,Big Room,Chile,3599717
2017,Big Room,Colombia,2916912
2017,Big Room,Costa Rica,1669697
2017,Big Room,Denmark,21752628
2017,Big Room,Ecuador,1301597
2017,Big Room,Finland,21167721
2017,Big Room,France,29266374
2017,Big Room,Germany,185775160
2017,Big Room,Global,1101637432
2017,Big Room,Indonesia,21363294
2017,Big Room,Ireland,12005620
2017,Big Room,Italy,43977083
2017,Big Room,Malaysia,6996698
2017,Big Room,Mexico,24638592
2017,Big Room,Netherlands,56316708
2017,Big Room,New Zealand,8414861
2017,Big Room,Norway,55653452
2017,Big Room,Peru,2397039
2017,Big Room,Philippines,15185713
2017,Big Room,Poland,19770624
2017,Big Room,Portugal,5460556
2017,Big Room,Singapore,12219579
2017,Big Room,Spain,28164487
2017,Big Room,Sweden,116866180
2017,Big Room,Switzerland,13290226
2017,Big Room,Taiwan,4145513
2017,Big Room,Turkey,6599976
2017,Big Room,United States of America,110683642
2017,Blues Rock,Austria,1664
2017,Blues Rock,Belgium,9034
2017,Blues Rock,Finland,5945
2017,Blues Rock,France,19505
2017,Blues Rock,Global,482336
2017,Blues Rock,Ireland,3520
2017,Blues Rock,Italy,10991
2017,Blues Rock,Netherlands,19553
2017,Blues Rock,Poland,4332
2017,Blues Rock,Spain,38999
2017,Blues Rock,Sweden,22140
2017,Blues Rock,Switzerland,4569
2017,Blues Rock,Turkey,4681
2017,Blues Rock,United States of America,166987
2017,Bow Pop,Ireland,8332
2017,Boy Band,Australia,324712
2017,Boy Band,Austria,49516
2017,Boy Band,Belgium,14549
2017,Boy Band,Canada,17538
2017,Boy Band,Finland,159877
2017,Boy Band,France,39089
2017,Boy Band,Germany,758482
2017,Boy Band,Ireland,518443
2017,Boy Band,Italy,871869
2017,Boy Band,Malaysia,649286
2017,Boy Band,New Zealand,54873
2017,Boy Band,Norway,864118
2017,Boy Band,Philippines,8647883
2017,Boy Band,Poland,102071
2017,Boy Band,Singapore,80542
2017,Boy Band,Sweden,49150
2017,Boy Band,Switzerland,29045
2017,Boy Band,Taiwan,17716
2017,Brazilian Edm,Taiwan,7404
2017,Brighton Indie,Australia,19229
2017,Brighton Indie,Belgium,3108
2017,Brighton Indie,Ireland,812317
2017,Brill Building Pop,Australia,871274
2017,Brill Building Pop,Austria,85849
2017,Brill Building Pop,Belgium,16043
2017,Brill Building Pop,Canada,184480
2017,Brill Building Pop,Denmark,478052
2017,Brill Building Pop,Finland,14426
2017,Brill Building Pop,Germany,789556
2017,Brill Building Pop,Global,4247377
2017,Brill Building Pop,Ireland,178901
2017,Brill Building Pop,Italy,325133
2017,Brill Building Pop,Malaysia,15256
2017,Brill Building Pop,Netherlands,291089
2017,Brill Building Pop,New Zealand,220326
2017,Brill Building Pop,Norway,27926
2017,Brill Building Pop,Poland,448911
2017,Brill Building Pop,Portugal,12290
2017,Brill Building Pop,Singapore,14273
2017,Brill Building Pop,Sweden,186904
2017,Brill Building Pop,Switzerland,31167
2017,Brill Building Pop,United States of America,1052166
2017,British Singer-songwriter,Belgium,2344
2017,British Singer-songwriter,Canada,22111
2017,British Singer-songwriter,Denmark,8379
2017,British Singer-songwriter,Ireland,9040
2017,British Singer-songwriter,Singapore,5259
2017,British Singer-songwriter,United States of America,184687
2017,British Soul,Argentina,200125
2017,British Soul,Australia,4506734
2017,British Soul,Austria,75307
2017,British Soul,Belgium,1115991
2017,British Soul,Brazil,130336
2017,British Soul,Canada,266126
2017,British Soul,Chile,322293
2017,British Soul,Colombia,683937
2017,British Soul,Costa Rica,733161
2017,British Soul,Denmark,1259307
2017,British Soul,Ecuador,113039
2017,British Soul,France,74984
2017,British Soul,Germany,823088
2017,British Soul,Global,43579290
2017,British Soul,Indonesia,2999164
2017,British Soul,Ireland,1382155
2017,British Soul,Italy,182151
2017,British Soul,Malaysia,2230266
2017,British Soul,Mexico,1179049
2017,British Soul,Netherlands,2346272
2017,British Soul,New Zealand,2527385
2017,British Soul,Norway,5863150
2017,British Soul,Peru,235599
2017,British Soul,Philippines,4464134
2017,British Soul,Poland,544175
2017,British Soul,Portugal,102570
2017,British Soul,Singapore,1730871
2017,British Soul,Spain,821087
2017,British Soul,Sweden,13713440
2017,British Soul,Switzerland,377369
2017,British Soul,Taiwan,168818
2017,British Soul,Turkey,205489
2017,British Soul,United States of America,1957506
2017,Britpop,Ireland,195904
2017,Brooklyn Indie,Australia,606381
2017,Brooklyn Indie,Belgium,126973
2017,Brooklyn Indie,Canada,488070
2017,Brooklyn Indie,Global,3488819
2017,Brooklyn Indie,Indonesia,65288
2017,Brooklyn Indie,Ireland,64486
2017,Brooklyn Indie,Malaysia,11393
2017,Brooklyn Indie,New Zealand,8052
2017,Brooklyn Indie,Philippines,363197
2017,Brooklyn Indie,Poland,208352
2017,Brooklyn Indie,Portugal,9064
2017,Brooklyn Indie,Singapore,240277
2017,Brooklyn Indie,Switzerland,136461
2017,Brooklyn Indie,Taiwan,54896
2017,Brooklyn Indie,Turkey,4146
2017,Brooklyn Indie,United States of America,7825635
2017,Brostep,Argentina,10503
2017,Brostep,Indonesia,3064057
2017,Brostep,Malaysia,769138
2017,Brostep,Philippines,14736
2017,Brostep,Singapore,541341
2017,Brostep,Taiwan,85918
2017,Bubblegum Dance,Belgium,8520
2017,Bubblegum Dance,Denmark,84933
2017,Bubblegum Dance,Finland,37466
2017,Bubblegum Dance,Ireland,27405
2017,Bubblegum Dance,Poland,10841
2017,Bubblegum Dance,Sweden,41884
2017,C-pop,Singapore,16910
2017,C-pop,Taiwan,172857
2017,C86,Sweden,260391
2017,Calming Instrumental,Finland,14408
2017,Canadian Contemporary R&b,Argentina,23531
2017,Canadian Contemporary R&b,Australia,11266579
2017,Canadian Contemporary R&b,Austria,903028
2017,Canadian Contemporary R&b,Belgium,886077
2017,Canadian Contemporary R&b,Brazil,5758262
2017,Canadian Contemporary R&b,Canada,29962395
2017,Canadian Contemporary R&b,Chile,144706
2017,Canadian Contemporary R&b,Colombia,143473
2017,Canadian Contemporary R&b,Costa Rica,75871
2017,Canadian Contemporary R&b,Denmark,6075021
2017,Canadian Contemporary R&b,Ecuador,46160
2017,Canadian Contemporary R&b,Finland,1448895
2017,Canadian Contemporary R&b,France,775868
2017,Canadian Contemporary R&b,Germany,13591575
2017,Canadian Contemporary R&b,Global,298552783
2017,Canadian Contemporary R&b,Indonesia,1803058
2017,Canadian Contemporary R&b,Ireland,702850
2017,Canadian Contemporary R&b,Italy,3937407
2017,Canadian Contemporary R&b,Malaysia,3611646
2017,Canadian Contemporary R&b,Mexico,26644
2017,Canadian Contemporary R&b,Netherlands,7895781
2017,Canadian Contemporary R&b,New Zealand,2429651
2017,Canadian Contemporary R&b,Norway,2746446
2017,Canadian Contemporary R&b,Peru,35093
2017,Canadian Contemporary R&b,Philippines,5903437
2017,Canadian Contemporary R&b,Poland,2751554
2017,Canadian Contemporary R&b,Portugal,2383831
2017,Canadian Contemporary R&b,Singapore,2292100
2017,Canadian Contemporary R&b,Spain,793645
2017,Canadian Contemporary R&b,Sweden,14521170
2017,Canadian Contemporary R&b,Switzerland,1344242
2017,Canadian Contemporary R&b,Taiwan,442719
2017,Canadian Contemporary R&b,Turkey,1265149
2017,Canadian Contemporary R&b,United States of America,205651630
2017,Canadian Electronic,Canada,2189923
2017,Canadian Electropop,Canada,592396
2017,Canadian Folk,Canada,273377
2017,Canadian Hip Hop,Argentina,1376439
2017,Canadian Hip Hop,Australia,37029827
2017,Canadian Hip Hop,Austria,1213024
2017,Canadian Hip Hop,Belgium,3874133
2017,Canadian Hip Hop,Brazil,10119832
2017,Canadian Hip Hop,Canada,85978334
2017,Canadian Hip Hop,Chile,1942115
2017,Canadian Hip Hop,Colombia,2103521
2017,Canadian Hip Hop,Costa Rica,1418853
2017,Canadian Hip Hop,Denmark,11259987
2017,Canadian Hip Hop,Ecuador,528611
2017,Canadian Hip Hop,Finland,2324143
2017,Canadian Hip Hop,France,13287617
2017,Canadian Hip Hop,Germany,23220461
2017,Canadian Hip Hop,Global,955980127
2017,Canadian Hip Hop,Indonesia,2641876
2017,Canadian Hip Hop,Ireland,7421163
2017,Canadian Hip Hop,Italy,7386451
2017,Canadian Hip Hop,Malaysia,1734960
2017,Canadian Hip Hop,Mexico,20596696
2017,Canadian Hip Hop,Netherlands,21189617
2017,Canadian Hip Hop,New Zealand,7357771
2017,Canadian Hip Hop,Norway,7692889
2017,Canadian Hip Hop,Peru,941544
2017,Canadian Hip Hop,Philippines,7286275
2017,Canadian Hip Hop,Poland,2911904
2017,Canadian Hip Hop,Portugal,4222854
2017,Canadian Hip Hop,Singapore,2637978
2017,Canadian Hip Hop,Spain,7209414
2017,Canadian Hip Hop,Sweden,16337051
2017,Canadian Hip Hop,Switzerland,3401083
2017,Canadian Hip Hop,Taiwan,1125546
2017,Canadian Hip Hop,Turkey,3082711
2017,Canadian Hip Hop,United States of America,588234091
2017,Canadian Indie,Austria,84083
2017,Canadian Indie,Belgium,60694
2017,Canadian Indie,Canada,2426889
2017,Canadian Indie,France,2230512
2017,Canadian Indie,Germany,151901
2017,Canadian Indie,Italy,1052256
2017,Canadian Indie,Switzerland,18613
2017,Canadian Latin,Ireland,3123
2017,Canadian Pop,Argentina,9584188
2017,Canadian Pop,Australia,27944328
2017,Canadian Pop,Austria,1692705
2017,Canadian Pop,Belgium,3540728
2017,Canadian Pop,Brazil,71123095
2017,Canadian Pop,Canada,31933618
2017,Canadian Pop,Chile,5846077
2017,Canadian Pop,Colombia,6057304
2017,Canadian Pop,Costa Rica,4729678
2017,Canadian Pop,Denmark,15853104
2017,Canadian Pop,Ecuador,1946026
2017,Canadian Pop,Finland,2421930
2017,Canadian Pop,France,10000216
2017,Canadian Pop,Germany,22323989
2017,Canadian Pop,Global,771683270
2017,Canadian Pop,Indonesia,7263626
2017,Canadian Pop,Ireland,4839772
2017,Canadian Pop,Italy,10038425
2017,Canadian Pop,Malaysia,6427243
2017,Canadian Pop,Mexico,26951627
2017,Canadian Pop,Netherlands,15107589
2017,Canadian Pop,New Zealand,7748527
2017,Canadian Pop,Norway,9476880
2017,Canadian Pop,Peru,5737476
2017,Canadian Pop,Philippines,25646929
2017,Canadian Pop,Poland,7167786
2017,Canadian Pop,Portugal,3798019
2017,Canadian Pop,Singapore,10174765
2017,Canadian Pop,Spain,9388096
2017,Canadian Pop,Sweden,21999188
2017,Canadian Pop,Switzerland,2642430
2017,Canadian Pop,Taiwan,2293168
2017,Canadian Pop,Turkey,1644026
2017,Canadian Pop,United States of America,77890490
2017,Canadian Rock,Canada,3359871
2017,Canadian Rock,Finland,38919
2017,Canadian Singer-songwriter,Austria,7160
2017,Canadian Singer-songwriter,Germany,107249
2017,Candy Pop,Argentina,15901
2017,Candy Pop,Australia,281427
2017,Candy Pop,Austria,118860
2017,Candy Pop,Brazil,6560738
2017,Candy Pop,Canada,180746
2017,Candy Pop,Chile,47710
2017,Candy Pop,Colombia,13151
2017,Candy Pop,Costa Rica,2576
2017,Candy Pop,Ecuador,1703
2017,Candy Pop,Finland,304904
2017,Candy Pop,Germany,268708
2017,Candy Pop,Global,59633130
2017,Candy Pop,Indonesia,486641
2017,Candy Pop,Ireland,811381
2017,Candy Pop,Italy,19338
2017,Candy Pop,Malaysia,248064
2017,Candy Pop,Mexico,202298
2017,Candy Pop,New Zealand,221418
2017,Candy Pop,Norway,14818
2017,Candy Pop,Peru,5567
2017,Candy Pop,Philippines,2354622
2017,Candy Pop,Poland,296684
2017,Candy Pop,Portugal,132710
2017,Candy Pop,Singapore,561381
2017,Candy Pop,Spain,20149
2017,Candy Pop,Sweden,164378
2017,Candy Pop,Taiwan,66721
2017,Candy Pop,United States of America,15375337
2017,Cantautor,Ecuador,1663
2017,Celtic Rock,Austria,195214
2017,Celtic Rock,Belgium,624966
2017,Celtic Rock,Denmark,97828
2017,Celtic Rock,Finland,8800
2017,Celtic Rock,Global,33926528
2017,Celtic Rock,Indonesia,5122004
2017,Celtic Rock,Ireland,3830038
